Ensembl_ID,Gene_type,Symbol
ENSG00000121410,protein_coding,A1BG
ENSG00000148584,protein_coding,A1CF
ENSG00000175899,protein_coding,A2M
ENSG00000166535,protein_coding,A2ML1
ENSG00000184389,protein_coding,A3GALT2
ENSG00000128274,protein_coding,A4GALT
ENSG00000118017,protein_coding,A4GNT
ENSG00000094914,protein_coding,AAAS
ENSG00000081760,protein_coding,AACS
ENSG00000114771,protein_coding,AADAC
ENSG00000197953,protein_coding,AADACL2
ENSG00000188984,protein_coding,AADACL3
ENSG00000204518,protein_coding,AADACL4
ENSG00000109576,protein_coding,AADAT
ENSG00000103591,protein_coding,AAGAB
ENSG00000115977,protein_coding,AAK1
ENSG00000087884,protein_coding,AAMDC
ENSG00000127837,protein_coding,AAMP
ENSG00000129673,protein_coding,AANAT
ENSG00000131043,protein_coding,AAR2
ENSG00000205002,protein_coding,AARD
ENSG00000090861,protein_coding,AARS1
ENSG00000124608,protein_coding,AARS2
ENSG00000266967,protein_coding,AARSD1
ENSG00000157426,protein_coding,AASDH
ENSG00000149313,protein_coding,AASDHPPT
ENSG00000008311,protein_coding,AASS
ENSG00000275700,protein_coding,AATF
ENSG00000181409,protein_coding,AATK
ENSG00000183044,protein_coding,ABAT
ENSG00000165029,protein_coding,ABCA1
ENSG00000154263,protein_coding,ABCA10
ENSG00000144452,protein_coding,ABCA12
ENSG00000179869,protein_coding,ABCA13
ENSG00000107331,protein_coding,ABCA2
ENSG00000167972,protein_coding,ABCA3
ENSG00000198691,protein_coding,ABCA4
ENSG00000154265,protein_coding,ABCA5
ENSG00000154262,protein_coding,ABCA6
ENSG00000064687,protein_coding,ABCA7
ENSG00000141338,protein_coding,ABCA8
ENSG00000154258,protein_coding,ABCA9
ENSG00000085563,protein_coding,ABCB1
ENSG00000135776,protein_coding,ABCB10
ENSG00000073734,protein_coding,ABCB11
ENSG00000005471,protein_coding,ABCB4
ENSG00000004846,protein_coding,ABCB5
ENSG00000115657,protein_coding,ABCB6
ENSG00000131269,protein_coding,ABCB7
ENSG00000197150,protein_coding,ABCB8
ENSG00000150967,protein_coding,ABCB9
ENSG00000103222,protein_coding,ABCC1
ENSG00000124574,protein_coding,ABCC10
ENSG00000121270,protein_coding,ABCC11
ENSG00000140798,protein_coding,ABCC12
ENSG00000023839,protein_coding,ABCC2
ENSG00000108846,protein_coding,ABCC3
ENSG00000125257,protein_coding,ABCC4
ENSG00000114770,protein_coding,ABCC5
ENSG00000091262,protein_coding,ABCC6
ENSG00000006071,protein_coding,ABCC8
ENSG00000069431,protein_coding,ABCC9
ENSG00000101986,protein_coding,ABCD1
ENSG00000173208,protein_coding,ABCD2
ENSG00000117528,protein_coding,ABCD3
ENSG00000119688,protein_coding,ABCD4
ENSG00000164163,protein_coding,ABCE1
ENSG00000204574,protein_coding,ABCF1
ENSG00000033050,protein_coding,ABCF2
ENSG00000161204,protein_coding,ABCF3
ENSG00000160179,protein_coding,ABCG1
ENSG00000118777,protein_coding,ABCG2
ENSG00000172350,protein_coding,ABCG4
ENSG00000138075,protein_coding,ABCG5
ENSG00000143921,protein_coding,ABCG8
ENSG00000143994,protein_coding,ABHD1
ENSG00000144827,protein_coding,ABHD10
ENSG00000106077,protein_coding,ABHD11
ENSG00000100997,protein_coding,ABHD12
ENSG00000131969,protein_coding,ABHD12B
ENSG00000139826,protein_coding,ABHD13
ENSG00000248487,protein_coding,ABHD14A
ENSG00000114786,protein_coding,ABHD14A-ACY1
ENSG00000114779,protein_coding,ABHD14B
ENSG00000168792,protein_coding,ABHD15
ENSG00000204427,protein_coding,ABHD16A
ENSG00000183260,protein_coding,ABHD16B
ENSG00000129968,protein_coding,ABHD17A
ENSG00000107362,protein_coding,ABHD17B
ENSG00000136379,protein_coding,ABHD17C
ENSG00000164074,protein_coding,ABHD18
ENSG00000140526,protein_coding,ABHD2
ENSG00000158201,protein_coding,ABHD3
ENSG00000100439,protein_coding,ABHD4
ENSG00000011198,protein_coding,ABHD5
ENSG00000163686,protein_coding,ABHD6
ENSG00000127220,protein_coding,ABHD8
ENSG00000136754,protein_coding,ABI1
ENSG00000138443,protein_coding,ABI2
ENSG00000108798,protein_coding,ABI3
ENSG00000154175,protein_coding,ABI3BP
ENSG00000119328,protein_coding,ABITRAM
ENSG00000097007,protein_coding,ABL1
ENSG00000143322,protein_coding,ABL2
ENSG00000099204,protein_coding,ABLIM1
ENSG00000163995,protein_coding,ABLIM2
ENSG00000173210,protein_coding,ABLIM3
ENSG00000175164,protein_coding,ABO
ENSG00000159842,protein_coding,ABR
ENSG00000174429,protein_coding,ABRA
ENSG00000146386,protein_coding,ABRACL
ENSG00000163322,protein_coding,ABRAXAS1
ENSG00000165660,protein_coding,ABRAXAS2
ENSG00000146109,protein_coding,ABT1
ENSG00000114626,protein_coding,ABTB1
ENSG00000166016,protein_coding,ABTB2
ENSG00000060971,protein_coding,ACAA1
ENSG00000167315,protein_coding,ACAA2
ENSG00000278540,protein_coding,ACACA
ENSG00000076555,protein_coding,ACACB
ENSG00000111271,protein_coding,ACAD10
ENSG00000240303,protein_coding,ACAD11
ENSG00000151498,protein_coding,ACAD8
ENSG00000177646,protein_coding,ACAD9
ENSG00000115361,protein_coding,ACADL
ENSG00000117054,protein_coding,ACADM
ENSG00000122971,protein_coding,ACADS
ENSG00000196177,protein_coding,ACADSB
ENSG00000072778,protein_coding,ACADVL
ENSG00000157766,protein_coding,ACAN
ENSG00000072818,protein_coding,ACAP1
ENSG00000114331,protein_coding,ACAP2
ENSG00000131584,protein_coding,ACAP3
ENSG00000075239,protein_coding,ACAT1
ENSG00000120437,protein_coding,ACAT2
ENSG00000182827,protein_coding,ACBD3
ENSG00000181513,protein_coding,ACBD4
ENSG00000107897,protein_coding,ACBD5
ENSG00000230124,protein_coding,ACBD6
ENSG00000176244,protein_coding,ACBD7
ENSG00000110455,protein_coding,ACCS
ENSG00000205126,protein_coding,ACCSL
ENSG00000102977,protein_coding,ACD
ENSG00000159640,protein_coding,ACE
ENSG00000130234,protein_coding,ACE2
ENSG00000167769,protein_coding,ACER1
ENSG00000177076,protein_coding,ACER2
ENSG00000078124,protein_coding,ACER3
ENSG00000087085,protein_coding,ACHE
ENSG00000100813,protein_coding,ACIN1
ENSG00000213088,protein_coding,ACKR1
ENSG00000144648,protein_coding,ACKR2
ENSG00000144476,protein_coding,ACKR3
ENSG00000129048,protein_coding,ACKR4
ENSG00000131473,protein_coding,ACLY
ENSG00000153086,protein_coding,ACMSD
ENSG00000122729,protein_coding,ACO1
ENSG00000100412,protein_coding,ACO2
ENSG00000102794,protein_coding,ACOD1
ENSG00000184227,protein_coding,ACOT1
ENSG00000162390,protein_coding,ACOT11
ENSG00000172497,protein_coding,ACOT12
ENSG00000112304,protein_coding,ACOT13
ENSG00000119673,protein_coding,ACOT2
ENSG00000177465,protein_coding,ACOT4
ENSG00000205669,protein_coding,ACOT6
ENSG00000097021,protein_coding,ACOT7
ENSG00000101473,protein_coding,ACOT8
ENSG00000123130,protein_coding,ACOT9
ENSG00000161533,protein_coding,ACOX1
ENSG00000168306,protein_coding,ACOX2
ENSG00000087008,protein_coding,ACOX3
ENSG00000153093,protein_coding,ACOXL
ENSG00000143727,protein_coding,ACP1
ENSG00000134575,protein_coding,ACP2
ENSG00000014257,protein_coding,ACP3
ENSG00000142513,protein_coding,ACP4
ENSG00000102575,protein_coding,ACP5
ENSG00000162836,protein_coding,ACP6
ENSG00000183760,protein_coding,ACP7
ENSG00000100312,protein_coding,ACR
ENSG00000111644,protein_coding,ACRBP
ENSG00000134940,protein_coding,ACRV1
ENSG00000103740,protein_coding,ACSBG1
ENSG00000130377,protein_coding,ACSBG2
ENSG00000167107,protein_coding,ACSF2
ENSG00000176715,protein_coding,ACSF3
ENSG00000151726,protein_coding,ACSL1
ENSG00000123983,protein_coding,ACSL3
ENSG00000068366,protein_coding,ACSL4
ENSG00000197142,protein_coding,ACSL5
ENSG00000164398,protein_coding,ACSL6
ENSG00000166743,protein_coding,ACSM1
ENSG00000183747,protein_coding,ACSM2A
ENSG00000066813,protein_coding,ACSM2B
ENSG00000005187,protein_coding,ACSM3
ENSG00000215009,protein_coding,ACSM4
ENSG00000183549,protein_coding,ACSM5
ENSG00000173124,protein_coding,ACSM6
ENSG00000154930,protein_coding,ACSS1
ENSG00000131069,protein_coding,ACSS2
ENSG00000111058,protein_coding,ACSS3
ENSG00000143632,protein_coding,ACTA1
ENSG00000107796,protein_coding,ACTA2
ENSG00000075624,protein_coding,ACTB
ENSG00000169067,protein_coding,ACTBL2
ENSG00000159251,protein_coding,ACTC1
ENSG00000184009,protein_coding,ACTG1
ENSG00000163017,protein_coding,ACTG2
ENSG00000136518,protein_coding,ACTL6A
ENSG00000077080,protein_coding,ACTL6B
ENSG00000187003,protein_coding,ACTL7A
ENSG00000148156,protein_coding,ACTL7B
ENSG00000117148,protein_coding,ACTL8
ENSG00000181786,protein_coding,ACTL9
ENSG00000072110,protein_coding,ACTN1
ENSG00000077522,protein_coding,ACTN2
ENSG00000248746,protein_coding,ACTN3
ENSG00000130402,protein_coding,ACTN4
ENSG00000131966,protein_coding,ACTR10
ENSG00000138107,protein_coding,ACTR1A
ENSG00000115073,protein_coding,ACTR1B
ENSG00000138071,protein_coding,ACTR2
ENSG00000115091,protein_coding,ACTR3
ENSG00000133627,protein_coding,ACTR3B
ENSG00000106526,protein_coding,ACTR3C
ENSG00000101442,protein_coding,ACTR5
ENSG00000075089,protein_coding,ACTR6
ENSG00000113812,protein_coding,ACTR8
ENSG00000123165,protein_coding,ACTRT1
ENSG00000169717,protein_coding,ACTRT2
ENSG00000184378,protein_coding,ACTRT3
ENSG00000115170,protein_coding,ACVR1
ENSG00000135503,protein_coding,ACVR1B
ENSG00000123612,protein_coding,ACVR1C
ENSG00000121989,protein_coding,ACVR2A
ENSG00000114739,protein_coding,ACVR2B
ENSG00000139567,protein_coding,ACVRL1
ENSG00000243989,protein_coding,ACY1
ENSG00000132744,protein_coding,ACY3
ENSG00000119640,protein_coding,ACYP1
ENSG00000170634,protein_coding,ACYP2
ENSG00000196839,protein_coding,ADA
ENSG00000093072,protein_coding,ADA2
ENSG00000164113,protein_coding,ADAD1
ENSG00000140955,protein_coding,ADAD2
ENSG00000168803,protein_coding,ADAL
ENSG00000137845,protein_coding,ADAM10
ENSG00000073670,protein_coding,ADAM11
ENSG00000148848,protein_coding,ADAM12
ENSG00000143537,protein_coding,ADAM15
ENSG00000151694,protein_coding,ADAM17
ENSG00000168619,protein_coding,ADAM18
ENSG00000135074,protein_coding,ADAM19
ENSG00000104755,protein_coding,ADAM2
ENSG00000134007,protein_coding,ADAM20
ENSG00000139985,protein_coding,ADAM21
ENSG00000008277,protein_coding,ADAM22
ENSG00000114948,protein_coding,ADAM23
ENSG00000042980,protein_coding,ADAM28
ENSG00000168594,protein_coding,ADAM29
ENSG00000134249,protein_coding,ADAM30
ENSG00000197140,protein_coding,ADAM32
ENSG00000149451,protein_coding,ADAM33
ENSG00000069206,protein_coding,ADAM7
ENSG00000151651,protein_coding,ADAM8
ENSG00000168615,protein_coding,ADAM9
ENSG00000134028,protein_coding,ADAMDEC1
ENSG00000154734,protein_coding,ADAMTS1
ENSG00000142303,protein_coding,ADAMTS10
ENSG00000151388,protein_coding,ADAMTS12
ENSG00000160323,protein_coding,ADAMTS13
ENSG00000138316,protein_coding,ADAMTS14
ENSG00000166106,protein_coding,ADAMTS15
ENSG00000145536,protein_coding,ADAMTS16
ENSG00000140470,protein_coding,ADAMTS17
ENSG00000140873,protein_coding,ADAMTS18
ENSG00000145808,protein_coding,ADAMTS19
ENSG00000087116,protein_coding,ADAMTS2
ENSG00000173157,protein_coding,ADAMTS20
ENSG00000156140,protein_coding,ADAMTS3
ENSG00000158859,protein_coding,ADAMTS4
ENSG00000154736,protein_coding,ADAMTS5
ENSG00000049192,protein_coding,ADAMTS6
ENSG00000136378,protein_coding,ADAMTS7
ENSG00000134917,protein_coding,ADAMTS8
ENSG00000163638,protein_coding,ADAMTS9
ENSG00000178031,protein_coding,ADAMTSL1
ENSG00000197859,protein_coding,ADAMTSL2
ENSG00000156218,protein_coding,ADAMTSL3
ENSG00000143382,protein_coding,ADAMTSL4
ENSG00000185761,protein_coding,ADAMTSL5
ENSG00000105963,protein_coding,ADAP1
ENSG00000184060,protein_coding,ADAP2
ENSG00000160710,protein_coding,ADAR
ENSG00000197381,protein_coding,ADARB1
ENSG00000185736,protein_coding,ADARB2
ENSG00000065457,protein_coding,ADAT1
ENSG00000189007,protein_coding,ADAT2
ENSG00000213638,protein_coding,ADAT3
ENSG00000063761,protein_coding,ADCK1
ENSG00000133597,protein_coding,ADCK2
ENSG00000173137,protein_coding,ADCK5
ENSG00000164742,protein_coding,ADCY1
ENSG00000143199,protein_coding,ADCY10
ENSG00000078295,protein_coding,ADCY2
ENSG00000138031,protein_coding,ADCY3
ENSG00000129467,protein_coding,ADCY4
ENSG00000173175,protein_coding,ADCY5
ENSG00000174233,protein_coding,ADCY6
ENSG00000121281,protein_coding,ADCY7
ENSG00000155897,protein_coding,ADCY8
ENSG00000162104,protein_coding,ADCY9
ENSG00000141433,protein_coding,ADCYAP1
ENSG00000078549,protein_coding,ADCYAP1R1
ENSG00000087274,protein_coding,ADD1
ENSG00000075340,protein_coding,ADD2
ENSG00000148700,protein_coding,ADD3
ENSG00000118492,protein_coding,ADGB
ENSG00000197177,protein_coding,ADGRA1
ENSG00000020181,protein_coding,ADGRA2
ENSG00000152990,protein_coding,ADGRA3
ENSG00000181790,protein_coding,ADGRB1
ENSG00000121753,protein_coding,ADGRB2
ENSG00000135298,protein_coding,ADGRB3
ENSG00000111452,protein_coding,ADGRD1
ENSG00000180264,protein_coding,ADGRD2
ENSG00000174837,protein_coding,ADGRE1
ENSG00000127507,protein_coding,ADGRE2
ENSG00000131355,protein_coding,ADGRE3
ENSG00000123146,protein_coding,ADGRE5
ENSG00000153292,protein_coding,ADGRF1
ENSG00000164393,protein_coding,ADGRF2
ENSG00000173567,protein_coding,ADGRF3
ENSG00000153294,protein_coding,ADGRF4
ENSG00000069122,protein_coding,ADGRF5
ENSG00000205336,protein_coding,ADGRG1
ENSG00000173698,protein_coding,ADGRG2
ENSG00000182885,protein_coding,ADGRG3
ENSG00000156920,protein_coding,ADGRG4
ENSG00000159618,protein_coding,ADGRG5
ENSG00000112414,protein_coding,ADGRG6
ENSG00000144820,protein_coding,ADGRG7
ENSG00000072071,protein_coding,ADGRL1
ENSG00000117114,protein_coding,ADGRL2
ENSG00000150471,protein_coding,ADGRL3
ENSG00000162618,protein_coding,ADGRL4
ENSG00000164199,protein_coding,ADGRV1
ENSG00000187758,protein_coding,ADH1A
ENSG00000196616,protein_coding,ADH1B
ENSG00000248144,protein_coding,ADH1C
ENSG00000198099,protein_coding,ADH4
ENSG00000197894,protein_coding,ADH5
ENSG00000172955,protein_coding,ADH6
ENSG00000196344,protein_coding,ADH7
ENSG00000147576,protein_coding,ADHFE1
ENSG00000182551,protein_coding,ADI1
ENSG00000182035,protein_coding,ADIG
ENSG00000181092,protein_coding,ADIPOQ
ENSG00000159346,protein_coding,ADIPOR1
ENSG00000006831,protein_coding,ADIPOR2
ENSG00000148671,protein_coding,ADIRF
ENSG00000156110,protein_coding,ADK
ENSG00000148926,protein_coding,ADM
ENSG00000128165,protein_coding,ADM2
ENSG00000224420,protein_coding,ADM5
ENSG00000101126,protein_coding,ADNP
ENSG00000101544,protein_coding,ADNP2
ENSG00000181915,protein_coding,ADO
ENSG00000163485,protein_coding,ADORA1
ENSG00000128271,protein_coding,ADORA2A
